phylum,class,order,family,genus,species,jrk_template,Phylum,Class,Order,Family,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,NA,jrk08926,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,wood_saprotroph,,,,,wood,white_rot,non-aquatic,,,filamentous_mycelium,corticioid,poroid,,,,
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp,jrk08004,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,root_endophyte,soil_saprotroph,ectomycorrhizal_1%_species/ericoid_mycorrhizal_many_species/orchid_mycorrhizal,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,
Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Hymenochaetales_gen_Incertae_sedis,Hymenochaetales_sp;sh__SH0088168.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,Sordariomycetes_gen_Incertae_sedis,Sordariomycetes_sp;sh__SH0070113.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,Leohumicola_sp,jrk04577,Ascomycota,Leotiomycetes,Helotiales,Helotiales family incertae sedis,,soil_saprotroph,ericoid_mycorrhizal,,root_endophyte_dark_septate,root-associated,"soil,roots",,non-aquatic,,,filamentous_mycelium,none,none,,,,
Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Constantinomyces,Constantinomyces_oldenburgensis;sh__SH0139558.10FU,jrk02035,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,,unspecified_saprotroph,rock-inhabiting,,,,soil,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp;sh__SH0004196.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Lecanoromycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus_bellinii;sh__SH0145057.10FU,jrk08511,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,,ectomycorrhizal,,,,,,,non-aquatic,,Pinaceae,filamentous_mycelium,agaricoid,poroid,long-distance,/suillus-rhizopogon,,
Ascomycota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Basidiomycota,Microbotryomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,Sistotrema_sp;sh__SH0153818.10FU,jrk08105,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales family incertae sedis,,litter_saprotroph,,ectomycorrhizal_many_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_fringe,/cantharellus,,
Monoblepharomycota,Monoblepharidomycetes,Monoblepharidales,Monoblepharidales_fam_Incertae_sedis,Monoblepharidales_gen_Incertae_sedis,Monoblepharidales_sp;sh__SH0089413.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp;sh__SH0191141.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,GS27,GS27_ord_Incertae_sedis,GS27_ord_Incertae_sedis_fam_Incertae_sedis,GS27_ord_Incertae_sedis_gen_Incertae_sedis,GS27_ord_Incertae_sedis_sp;sh__SH0149983.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp;sh__SH0131774.10FU,jrk00567,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,
Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,Podila_humilis;sh__SH0097986.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Auriculariales,Hyaloriaceae,Hyaloriaceae_gen_Incertae_sedis,Hyaloriaceae_sp;sh__SH0013649.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,Saccharomycetales_sp;sh__SH0006893.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron_tenuissimum;sh__SH0144706.10FU,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Ascomycota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Leotiales,Leotiales_fam_Incertae_sedis,Leotiales_gen_Incertae_sedis,Leotiales_sp;sh__SH0006444.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Lecanoromycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mucoromycota,Endogonomycetes,GS21,GS21_fam_Incertae_sedis,GS21_gen_Incertae_sedis,GS21_sp;sh__SH0195568.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Clavulinopsis_sp;sh__SH0054115.10FU,jrk01853,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,
Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Thaxterogaster,Thaxterogaster_variegatus;sh__SH0183164.10FU,jrk09541,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,medium-distance_fringe,/cortinarius,,
Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp;sh__SH0117949.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Tyroliella,Tyroliella_animi-liberi;sh__SH0146091.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp;sh__SH0151825.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_praecipuum;sh__SH0009004.10FU,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp;sh__SH0117986.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Dothideomycetes_gen_Incertae_sedis,Dothideomycetes_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Basidiomycota_cls_Incertae_sedis,Basidiomycota_ord_Incertae_sedis,Basidiomycota_fam_Incertae_sedis,Basidiomycota_gen_Incertae_sedis,Basidiomycota_sp;sh__SH0192835.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_fam_Incertae_sedis,Auriculariales_gen_Incertae_sedis,Auriculariales_sp;sh__SH0161591.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_sp;sh__SH0131768.10FU,jrk00567,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,
Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_emunctus;sh__SH0120330.10FU,jrk02100,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,
Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Capnodiales_gen_Incertae_sedis,Capnodiales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,NA,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Ascomycota,Dothideomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_sp;sh__SH0071031.10FU,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Basidiomycota,Agaricomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_cocles;sh__SH0017243.10FU,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,NA,jrk07563,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiaceae,,algal_parasite,litter_saprotroph,"hypervariable,_parasite_on_algae,protists,and_plants;_Saprobic_on_plant_and_animal_matter",,algal_parasite,"leaf/fruit/seed,algal_material,fungal_material,protist_material",keratinolytic,partly_freshwater_(partly_non-aquatic),,,zoosporic-rhizomycelial_(chytrid-like),zoosporangium,closed,,,,
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_carneogriseum;sh__SH0161816.10FU,jrk02963,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,soil_saprotroph,unspecified_symbiotroph,"CHEGD_symbiotrophs,ectomycorrhizal_ca_10%_of_species",root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_smooth,/entoloma,,
Basidiomycota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascomycota,Lecanoromycetes,Baeomycetales,Trapeliaceae,Placynthiella,Placynthiella_icmalea;sh__SH0130129.10FU,jrk06678,Ascomycota,Lecanoromycetes,Baeomycetales,Trapeliaceae,,lichenized,,,,,,,non-aquatic,,,thallus_photosynthetic,apothecium_(hymenium_on_surface),smooth,,,chlorococcoid,
Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphodermataceae_gen_Incertae_sedis,Hyphodermataceae_sp;sh__SH0142518.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_hobsonii;sh__SH0088247.10FU,jrk01875,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,litter_saprotroph,,mycoparasite_some_species,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron_sp,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron_tenuissimum;sh__SH0144706.10FU,jrk05883,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,,soil_saprotroph,root_endophyte,ericoid_mycorrhizal_O._maius,root_endophyte,root-associated,soil,,partly_aquatic,,,filamentous_mycelium,none,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp;sh__SH0003463.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rozellomycota,Rozellomycota_cls_Incertae_sedis,Rozellomycota_ord_Incertae_sedis,Rozellomycota_fam_Incertae_sedis,Rozellomycota_gen_Incertae_sedis,Rozellomycota_sp;sh__SH0009023.10FU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
